Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-08-24,68485.1,68775.14,67969.88,68007.57,24754376
2023-08-25,67420,68137.57,67377.16,67706.43,27415229
2023-08-28,68091.88,68767.46,67760.75,68721.61,26809800
2023-08-29,68837.76,69075.94,68490.39,68794.91,33827819
2023-08-30,68933.06,69108.91,68641.26,68979.76,20635943
2023-08-31,68969.13,69168.1,68379.48,68431.46,46519916
2023-09-01,68427.64,69102.87,68354.52,69017.61,34422441
2023-09-04,69098,69326.48,68324.56,68356.52,38938131
2023-09-05,68314.47,68799.56,67733.54,67828.6,30350248
2023-09-06,67794.13,67945.67,66299.84,66747.11,51989027
2023-09-07,66475.26,66833.54,65475.46,65932.92,37643004
2023-09-08,66291.69,66563.26,65963.63,66542.34,28408043
2023-09-11,67008.4,67153.62,66245.71,66466.05,26511968
2023-09-12,66612.08,66690.09,66183.59,66559.85,30995034
2023-09-13,66498.04,66753.92,66277.57,66663.75,29783731
2023-09-14,66961.88,67199.88,66626.84,67199.88,31923802
2023-09-15,67393.06,67738.86,67315.18,67368.11,61122840
2023-09-18,67375.83,67556.32,66402.65,66439.42,30866987
2023-09-19,66660.08,66722.13,65948.74,66136.36,33245474
2023-09-20,66296.05,67375.46,66254.58,67293.01,30732390
2023-09-21,66795.39,66795.39,66163.63,66528.72,25869113
2023-09-22,66499.72,66722.56,66187,66519.31,25533630
2023-09-25,66425.3,66741.01,65606.13,65788.09,27992561
2023-09-26,65621.67,65964.21,65081.64,65760.08,26399872
2023-09-27,65719.12,65842.68,64884.38,64884.38,26931569.684692
2023-09-28,64927.94,64929.18,64082.91,64417.96,43456004
2023-09-29,64802.21,65680.36,64802.21,65397.43,37836337
2023-10-02,65427.74,65474.09,64187.58,64190.54,31673741
2023-10-03,63997.75,64277.22,63620.72,63776.83,38957525
2023-10-04,63328.86,64808.5,63210.28,64282.18,37508804
2023-10-05,64653.56,64695.11,63799.77,63799.77,33496671
2023-10-06,63680.75,64451.75,63488.19,63903.35,51481648
2023-10-09,63747.05,65254.93,63515.7,65008.48,35870293
2023-10-10,65469.49,66748.73,65405.16,66571.49,42860663
2023-10-11,66693.24,67411.32,66506.66,67053.03,53318287
2023-10-12,67226.16,67301.87,66536.23,66682.65,51122508
2023-10-13,66550.85,67422.62,66494.52,67061.9,48226490
2023-10-16,68544.19,70459.21,68359.3,69960.65,87022935
2023-10-17,69960.5,71985.29,69960.5,71222.64,67689950
2023-10-18,70909.96,71577.17,70435.56,70474.84,56090274
2023-10-19,70014.56,70115.06,69061.15,69156.94,41352287
2023-10-20,68665.7,68979.58,68120.13,68361.11,34276864
2023-10-23,68428.48,68561.13,68017.89,68128.89,39614084
2023-10-24,68646.9,69649.66,68646.9,69219.49,44582620
